program_id,family,authority_root,decision,evidence_level,status,release_ready,same_sample_action,entity_type,parent_family_id,translation_id,parent_translation_ids,programme_exposure_class,multiplicity_family
tsmom_v6,Time-series momentum,phase_kraken_full_tsmom_v6_aggregate_20260707_v1,defer_current_translation,level_3_train_only_materialized_controls_stress_diagnostic_capped,prior_lineage_strategic_continuity_only,False,preserve current decision; no rescue,historical_translation,,tsmom_v6,,program_exposed_historical,
a1_compression,A1 liquid-leader continuation and compression breakouts,phase_kraken_a1_compression_full_180shard_funding_corrected_20260711_v1_20260711_194859,defer_current_translation,train_only_control_context_adjudication_capped_not_validation,prior_lineage_strategic_continuity_only,False,preserve current decision; no rescue,historical_translation,,a1_compression,,program_exposed_historical,
prior_high_reclaim_v2,"Prior-high proximity, breakout and reclaim",phase_kraken_prior_high_reclaim_v2_canonical_train_scan_20260712_v1,defer_current_translation,train_only_materialized_real_controls_capped,prior_lineage_strategic_continuity_only,False,preserve current decision; no rescue,historical_translation,,prior_high_reclaim_v2,,program_exposed_historical,
c2_post_catalyst,Post-catalyst continuation base,phase_kraken_c2_sample_limited_economic_tranche_20260713_v1,current_translation_weak,sample_limited_train_only_capped,prior_lineage_strategic_continuity_only,False,preserve current decision; no rescue,historical_translation,,c2_post_catalyst,,program_exposed_historical,
lfbs_repaired,Liquid failed-breakout short,phase_kraken_lfbs_signal_state_repaired_screen_20260715_v1,current_translation_weak,level_4_event_ledger_plus_real_controls,prior_lineage_strategic_continuity_only,False,preserve current decision; no rescue,historical_translation,,lfbs_repaired,,program_exposed_historical,
backside_blowoff_repaired,Backside-confirmed blowoff short,phase_kraken_backside_blowoff_signal_state_repaired_screen_20260715_v1,current_translation_weak,level_4_event_ledger_plus_real_controls,prior_lineage_strategic_continuity_only,False,preserve current decision; no rescue,historical_translation,,backside_blowoff_repaired,,program_exposed_historical,
rfbs_repaired,Risk-off failed-bounce short,phase_kraken_rfbs_signal_state_repaired_screen_20260715_v1,fragile_context_sleeve,level_4_event_ledger_plus_real_controls,prior_lineage_strategic_continuity_only,False,preserve current decision; no rescue,historical_translation,,rfbs_repaired,,program_exposed_historical,
delayed_flush_reclaim,Delayed flush reclaim long,phase_kraken_delayed_flush_reclaim_signal_state_repair_20260715_v1,current_translation_weak,level_4_event_ledger_plus_real_controls,prior_lineage_strategic_continuity_only,False,preserve current decision; no rescue,historical_translation,,delayed_flush_reclaim,,program_exposed_historical,
breakout_retest_v2,Close-confirmed breakout retest long,phase_kraken_close_confirmed_breakout_retest_long_screen_20260715_v2,current_translation_rejected_only,level_4_event_ledger_plus_real_controls,prior_lineage_strategic_continuity_only,False,preserve current decision; no rescue,historical_translation,,breakout_retest_v2,,program_exposed_historical,
failed_breakdown_reclaim,Failed-breakdown squeeze reclaim long,phase_kraken_failed_breakdown_squeeze_reclaim_long_screen_20260716_v1,mechanism_preserved_current_translation_weak,level_4_event_ledger_plus_real_controls,prior_lineage_strategic_continuity_only,False,preserve current decision; no rescue,historical_translation,,failed_breakdown_reclaim,,program_exposed_historical,
strong_close_handoff,Strong-close session-handoff continuation,phase_kraken_strong_close_session_handoff_continuation_20260716_v1,current_translation_weak,level_4_event_ledger_plus_real_controls,prior_lineage_strategic_continuity_only,False,preserve current decision; no rescue,historical_translation,,strong_close_handoff,,program_exposed_historical,
rs_breakout_btc,Relative-strength breakout versus BTC,phase_kraken_relative_strength_breakout_vs_btc_screen_20260716_v1,mechanism_preserved_current_translation_weak,level_4_event_ledger_plus_real_controls,prior_lineage_strategic_continuity_only,False,preserve current decision; no rescue,historical_translation,,rs_breakout_btc,,program_exposed_historical,
btc_alt_diffusion,BTC-led delayed alt diffusion,phase_kraken_btc_led_delayed_alt_diffusion_long_screen_20260716_v1,fragile_context_sleeve,level_4_event_ledger_plus_real_controls,prior_lineage_strategic_continuity_only,False,preserve current decision; no rescue,historical_translation,,btc_alt_diffusion,,program_exposed_historical,
session_open_range,Asia and U.S. cash-open range resolution,phase_kraken_session_open_range_resolution_20260716_v1,current_translation_rejected_only,level_4_event_ledger_plus_real_controls,prior_lineage_strategic_continuity_only,False,preserve current decision; no rescue,historical_translation,,session_open_range,,program_exposed_historical,
C01,Debetaed residual shock path bifurcation,phase_kraken_c01_level3_economic_20260717_v1_20260717_103227,level3_no_primary_pass_stop,level_3_train_only_kill_screen,first_wave_terminal,False,"No subset rescue, opposite direction, horizon or threshold retune",historical_translation,,C01,,program_exposed_historical,
C02,Positive resolution-aware spot-led continuation,phase_kraken_c02_positive_spot_led_level3_20260717_v1_20260717_161958,level3_no_primary_pass_stop,level_3_train_only_kill_screen,first_wave_terminal,False,"No negative branch, shifted clocks, alternative thresholds/horizons or subset rescue",historical_translation,,C02,,program_exposed_historical,
C03,PIT cohort breadth and dispersion context,phase_kraken_c03_pit_cohort_breadth_20260717_v1_20260717_173151,C03_PIT_authority_unavailable,data_authority_unavailable,first_wave_terminal,False,No current-survivor or bar-existence substitution,historical_translation,,C03,,program_exposed_historical,
C16,ETF/regulated-access flow transmission,phase_c16_flow_authority_20260717_v1,C16_flow_authority_unavailable,data_authority_unavailable,next_wave_authority_terminal,False,No Kraken join or C16 contract without new versioned official daily authority,historical_translation,,C16,,program_exposed_historical,
